File, Function, Calls, TimeInh, MemInh
node1.prof, processTXs', 302, 13.0, 18.4
node1.prof, validateTransaction, 255, 6.5, 7.6
node1.prof, txIsUnique, 234, 1.5, 0.0
node1.prof, mint', 46, 4.9, 10.7
node2.prof, processTXs', 302, 7.1, 9.5
node2.prof, validateTransaction, 255, 5.5, 8.4
node2.prof, txIsUnique, 231, 0.9, 0.0
node2.prof, mint', 46, 0.6, 1.1
node3.prof, processTXs', 301, 13.0, 11.0
node3.prof, validateTransaction, 255, 9.7, 9.7
node3.prof, txIsUnique, 229, 1.7, 0.0
node3.prof, mint', 45, 1.2, 1.3
node4.prof, processTXs', 301, 7.9, 8.0
node4.prof, validateTransaction, 255, 6.4, 7.6
node4.prof, txIsUnique, 225, 1.0, 0.0
node4.prof, mint', 45, 0.4, 0.4
node5.prof, processTXs', 301, 9.5, 8.7
node5.prof, validateTransaction, 255, 5.5, 7.1
node5.prof, txIsUnique, 230, 2.2, 0.0
node5.prof, mint', 45, 1.2, 1.6
