File, Function, Module, Number, Calls, TimeInd, MemInd, TimeInh, MemInh
node10.prof, processTXs', OrdinaryNode,  12832, 1061, 0.7, 0.0, 20.7, 19.3
node10.prof, validateTransaction, Transaction,  13730, 1010, 0.0, 0.0, 14.5, 18.1
node10.prof, txIsUnique, Block,  14299, 502, 0.3, 0.0, 4.3, 0.0
node10.prof, mint', OrdinaryNode,  14371, 50, 0.0, 0.0, 1.2, 1.2
node1.prof, processTXs', OrdinaryNode,  12833, 1061, 0.5, 0.0, 19.3, 20.5
node1.prof, validateTransaction, Transaction,  13788, 1010, 0.0, 0.0, 15.1, 19.3
node1.prof, txIsUnique, Block,  14357, 501, 0.6, 0.0, 2.6, 0.0
node1.prof, mint', OrdinaryNode,  14371, 50, 0.0, 0.0, 1.0, 1.2
node2.prof, processTXs', OrdinaryNode,  12833, 1061, 0.4, 0.0, 19.6, 19.0
node2.prof, validateTransaction, Transaction,  13788, 1010, 0.0, 0.0, 15.0, 17.1
node2.prof, txIsUnique, Block,  14357, 503, 0.3, 0.0, 2.7, 0.0
node2.prof, mint', OrdinaryNode,  14371, 50, 0.0, 0.0, 1.4, 1.8
node3.prof, processTXs', OrdinaryNode,  12833, 1061, 0.7, 0.0, 20.1, 18.9
node3.prof, validateTransaction, Transaction,  13784, 1010, 0.0, 0.0, 15.4, 17.7
node3.prof, txIsUnique, Block,  14353, 503, 0.3, 0.0, 2.9, 0.0
node3.prof, mint', OrdinaryNode,  14371, 50, 0.0, 0.0, 1.1, 1.1
node4.prof, processTXs', OrdinaryNode,  12833, 1061, 0.7, 0.0, 23.6, 20.7
node4.prof, validateTransaction, Transaction,  13780, 1010, 0.1, 0.0, 17.2, 19.6
node4.prof, txIsUnique, Block,  14349, 505, 0.5, 0.0, 4.7, 0.0
node4.prof, mint', OrdinaryNode,  14371, 50, 0.1, 0.0, 0.8, 1.1
node5.prof, processTXs', OrdinaryNode,  12832, 1061, 0.9, 0.0, 25.3, 20.6
node5.prof, validateTransaction, Transaction,  13788, 1010, 0.0, 0.0, 17.2, 18.3
node5.prof, txIsUnique, Block,  14357, 503, 0.5, 0.0, 5.3, 0.0
node5.prof, mint', OrdinaryNode,  14371, 50, 0.0, 0.0, 1.7, 2.3
node6.prof, processTXs', OrdinaryNode,  12832, 1061, 0.8, 0.0, 23.7, 21.9
node6.prof, validateTransaction, Transaction,  13730, 1010, 0.1, 0.0, 16.9, 20.1
node6.prof, txIsUnique, Block,  14299, 502, 0.5, 0.0, 4.7, 0.0
node6.prof, mint', OrdinaryNode,  14375, 50, 0.0, 0.0, 0.9, 1.7
node7.prof, processTXs', OrdinaryNode,  12833, 1061, 0.7, 0.0, 21.6, 20.2
node7.prof, validateTransaction, Transaction,  13780, 1010, 0.0, 0.0, 14.4, 17.1
node7.prof, txIsUnique, Block,  14349, 503, 0.4, 0.0, 4.3, 0.0
node7.prof, mint', OrdinaryNode,  14371, 50, 0.0, 0.0, 2.2, 3.1
node8.prof, processTXs', OrdinaryNode,  12832, 1061, 0.6, 0.0, 23.6, 23.0
node8.prof, validateTransaction, Transaction,  13730, 1010, 0.0, 0.0, 15.6, 20.1
node8.prof, txIsUnique, Block,  14299, 504, 0.4, 0.0, 5.1, 0.0
node8.prof, mint', OrdinaryNode,  14371, 50, 0.0, 0.0, 1.8, 2.9
node9.prof, processTXs', OrdinaryNode,  12833, 1061, 0.5, 0.0, 21.8, 21.8
node9.prof, validateTransaction, Transaction,  13730, 1010, 0.1, 0.0, 14.3, 19.0
node9.prof, txIsUnique, Block,  14299, 503, 0.5, 0.0, 5.2, 0.0
node9.prof, mint', OrdinaryNode,  14367, 50, 0.0, 0.0, 1.7, 2.7
