File, Function, Calls, TimeInh, MemInh
node10.prof, processTXs', 74, 3.2, 3.6
node10.prof, txIsUnique, 62, 0.2, 0.0
node10.prof, validateTransaction, 62, 1.5, 2.1
node10.prof, mint', 12, 1.4, 1.5
node1.prof, processTXs', 74, 2.3, 2.5
node1.prof, txIsUnique, 62, 0.0, 0.0
node1.prof, validateTransaction, 62, 1.7, 1.8
node1.prof, mint', 12, 0.6, 0.7
node2.prof, processTXs', 74, 2.2, 2.0
node2.prof, txIsUnique, 62, 0.1, 0.0
node2.prof, validateTransaction, 62, 1.6, 1.8
node2.prof, mint', 12, 0.4, 0.2
node3.prof, processTXs', 74, 1.9, 1.8
node3.prof, txIsUnique, 62, 0.2, 0.0
node3.prof, validateTransaction, 62, 1.5, 1.8
node3.prof, mint', 12, 0.1, 0.0
node4.prof, processTXs', 74, 2.4, 2.6
node4.prof, txIsUnique, 62, 0.1, 0.0
node4.prof, validateTransaction, 62, 1.6, 1.9
node4.prof, mint', 12, 0.7, 0.7
node5.prof, processTXs', 74, 1.7, 2.2
node5.prof, txIsUnique, 62, 0.1, 0.0
node5.prof, validateTransaction, 62, 1.2, 2.0
node5.prof, mint', 12, 0.4, 0.2
node6.prof, processTXs', 74, 2.1, 2.4
node6.prof, txIsUnique, 62, 0.3, 0.0
node6.prof, validateTransaction, 62, 1.2, 2.0
node6.prof, mint', 12, 0.5, 0.4
node7.prof, processTXs', 6, 0.2, 0.2
node7.prof, txIsUnique, 5, 0.0, 0.0
node7.prof, validateTransaction, 5, 0.2, 0.2
node7.prof, mint', 1, 0.0, 0.0
node8.prof, processTXs', 6, 0.2, 0.2
node8.prof, txIsUnique, 5, 0.0, 0.0
node8.prof, validateTransaction, 5, 0.2, 0.2
node8.prof, mint', 1, 0.0, 0.0
node9.prof, processTXs', 74, 1.7, 2.0
node9.prof, txIsUnique, 62, 0.1, 0.0
node9.prof, validateTransaction, 62, 1.4, 1.9
node9.prof, mint', 12, 0.2, 0.0
