node10.prof:	total time  = 0.30 secs   	Validated txs 18
node1.prof:	total time  = 0.33 secs   	Validated txs 5
node2.prof:	total time  = 0.28 secs   	Validated txs 5
node3.prof:	total time  = 0.31 secs   	Validated txs 10
node4.prof:	total time  = 0.37 secs   	Validated txs 5
node5.prof:	total time  = 0.34 secs   	Validated txs 17
node6.prof:	total time  = 0.29 secs   	Validated txs 17
node7.prof:	total time  = 0.31 secs   	Validated txs 17
node8.prof:	total time  = 0.28 secs   	Validated txs 5
node9.prof:	total time  = 0.35 secs   	Validated txs 19
Total time = 3.16	Total validated txs = 118 => Throughput = 37.34
