File, Function, Calls, TimeInh, MemInh
node1.prof, processTXs', 267, 8.7, 14.2
node1.prof, validateTransaction, 255, 5.8, 9.7
node1.prof, txIsUnique, 227, 0.7, 0.0
node1.prof, mint', 11, 1.7, 4.4
node2.prof, processTXs', 267, 8.4, 9.0
node2.prof, validateTransaction, 255, 7.2, 8.9
node2.prof, txIsUnique, 222, 0.9, 0.0
node2.prof, mint', 11, 0.1, 0.0
node3.prof, processTXs', 267, 12.2, 12.5
node3.prof, validateTransaction, 255, 9.0, 9.7
node3.prof, txIsUnique, 226, 1.5, 0.0
node3.prof, mint', 11, 1.5, 2.8
node4.prof, processTXs', 267, 8.9, 12.0
node4.prof, validateTransaction, 255, 5.1, 8.2
node4.prof, txIsUnique, 227, 1.2, 0.0
node4.prof, mint', 11, 1.9, 3.7
node5.prof, processTXs', 267, 9.1, 10.3
node5.prof, validateTransaction, 255, 6.4, 7.1
node5.prof, txIsUnique, 228, 1.2, 0.0
node5.prof, mint', 11, 1.2, 3.2
