File, Function, Calls, TimeInh, MemInh
node1.prof, processTXs', 299, 10.3, 12.7
node1.prof, validateTransaction, 253, 6.6, 8.7
node1.prof, txIsUnique, 231, 1.1, 0.0
node1.prof, mint', 46, 2.2, 4.0
node2.prof, processTXs', 296, 10.4, 13.8
node2.prof, validateTransaction, 250, 6.4, 9.3
node2.prof, txIsUnique, 232, 0.9, 0.0
node2.prof, mint', 46, 2.6, 4.4
node3.prof, processTXs', 301, 8.4, 8.9
node3.prof, validateTransaction, 255, 5.3, 6.9
node3.prof, txIsUnique, 230, 1.2, 0.0
node3.prof, mint', 45, 1.8, 2.1
node4.prof, processTXs', 298, 6.6, 8.5
node4.prof, validateTransaction, 252, 4.2, 6.7
node4.prof, txIsUnique, 231, 0.6, 0.0
node4.prof, mint', 46, 1.5, 1.8
node5.prof, processTXs', 301, 13.4, 13.7
node5.prof, validateTransaction, 255, 7.8, 9.6
node5.prof, txIsUnique, 229, 1.8, 0.0
node5.prof, mint', 45, 2.9, 4.1
