File, Function, Calls, TimeInh, MemInh
node1.prof, processTXs', 296, 10.9, 13.2
node1.prof, validateTransaction, 250, 7.0, 9.4
node1.prof, txIsUnique, 230, 1.4, 0.0
node1.prof, mint', 46, 2.3, 3.7
node2.prof, processTXs', 295, 11.2, 12.6
node2.prof, validateTransaction, 249, 6.8, 8.9
node2.prof, txIsUnique, 230, 1.4, 0.0
node2.prof, mint', 46, 2.9, 3.7
node3.prof, processTXs', 301, 12.9, 12.1
node3.prof, validateTransaction, 255, 6.9, 7.6
node3.prof, txIsUnique, 229, 2.6, 0.0
node3.prof, mint', 45, 2.9, 4.5
node4.prof, processTXs', 301, 12.7, 12.0
node4.prof, validateTransaction, 255, 9.0, 9.8
node4.prof, txIsUnique, 229, 1.8, 0.0
node4.prof, mint', 45, 1.8, 2.1
node5.prof, processTXs', 301, 10.4, 9.9
node5.prof, validateTransaction, 255, 6.3, 7.6
node5.prof, txIsUnique, 229, 1.7, 0.0
node5.prof, mint', 45, 1.9, 2.3
