Node,Function,Module,Source,Number,Entries,TimeInd,MemInd,TimeInh,MemInh
node1.prof:,nodeLogic.processTXs.processTXs',OrdinaryNode,src/OrdinaryNode.hs:(235-11-(249-62,13334,278,0.1,0.0,7.4,14.0
node1.prof:,validateTransaction,Transaction,src/Transaction.hs:(189-1-(192-46,14306,255,0.0,0.0,5.5,10.0
node1.prof:,txIsUnique,Block,src/Block.hs:135:1-52,14868,228,0.1,0.0,0.6,0.0
node1.prof:,nodeLogic.mint',OrdinaryNode,src/OrdinaryNode.hs:(258-7-(283-37,15791,22,0.1,0.0,1.2,3.9
node2.prof:,nodeLogic.processTXs.processTXs',OrdinaryNode,src/OrdinaryNode.hs:(235-11-(249-62,13334,278,0.2,0.0,6.6,11.3
node2.prof:,validateTransaction,Transaction,src/Transaction.hs:(189-1-(192-46,14300,255,0.0,0.0,4.2,7.7
node2.prof:,txIsUnique,Block,src/Block.hs:135:1-52,14859,229,0.2,0.0,0.8,0.0
node2.prof:,nodeLogic.mint',OrdinaryNode,src/OrdinaryNode.hs:(258-7-(283-37,15785,22,0.1,0.0,1.3,3.5
node3.prof:,nodeLogic.processTXs.processTXs',OrdinaryNode,src/OrdinaryNode.hs:(235-11-(249-62,13334,278,0.3,0.0,6.9,9.9
node3.prof:,validateTransaction,Transaction,src/Transaction.hs:(189-1-(192-46,14306,255,0.0,0.0,5.3,8.0
node3.prof:,txIsUnique,Block,src/Block.hs:135:1-52,14867,227,0.1,0.0,0.7,0.0
node3.prof:,nodeLogic.mint',OrdinaryNode,src/OrdinaryNode.hs:(258-7-(283-37,15793,22,0.0,0.0,0.6,1.9
node4.prof:,nodeLogic.processTXs.processTXs',OrdinaryNode,src/OrdinaryNode.hs:(235-11-(249-62,13323,278,0.3,0.0,7.4,12.5
node4.prof:,validateTransaction,Transaction,src/Transaction.hs:(189-1-(192-46,14310,255,0.0,0.0,4.9,8.1
node4.prof:,txIsUnique,Block,src/Block.hs:135:1-52,14870,226,0.1,0.0,0.5,0.0
node4.prof:,nodeLogic.mint',OrdinaryNode,src/OrdinaryNode.hs:(258-7-(283-37,15793,22,0.0,0.0,1.7,4.4
node5.prof:,nodeLogic.processTXs.processTXs',OrdinaryNode,src/OrdinaryNode.hs:(235-11-(249-62,13330,278,0.0,0.0,6.4,6.9
node5.prof:,validateTransaction,Transaction,src/Transaction.hs:(189-1-(192-46,14280,255,0.0,0.0,5.3,6.4
node5.prof:,txIsUnique,Block,src/Block.hs:135:1-52,14863,227,0.1,0.0,0.7,0.0
node5.prof:,nodeLogic.mint',OrdinaryNode,src/OrdinaryNode.hs:(258-7-(283-37,15785,22,0.0,0.0,0.3,0.5
