File, Function, Calls, TimeInh, MemInh
node1.prof, processTXs', 267, 18.7, 20.7
node1.prof, validateTransaction, 225, 8.7, 8.7
node1.prof, txIsUnique, 208, 0.5, 0.0
node1.prof, mint', 41, 9.5, 12.0
node2.prof, processTXs', 267, 9.1, 10.0
node2.prof, validateTransaction, 225, 7.3, 9.4
node2.prof, txIsUnique, 207, 1.1, 0.0
node2.prof, mint', 41, 0.7, 0.5
node3.prof, processTXs', 268, 10.3, 9.9
node3.prof, validateTransaction, 225, 7.9, 8.7
node3.prof, txIsUnique, 212, 0.9, 0.0
node3.prof, mint', 42, 1.3, 1.1
node4.prof, processTXs', 268, 10.1, 11.4
node4.prof, validateTransaction, 225, 6.8, 8.8
node4.prof, txIsUnique, 212, 1.0, 0.0
node4.prof, mint', 42, 1.9, 2.6
node5.prof, processTXs', 268, 9.0, 7.3
node5.prof, validateTransaction, 225, 7.0, 6.3
node5.prof, txIsUnique, 213, 1.0, 0.0
node5.prof, mint', 42, 0.9, 1.0
