File, Function, Calls, TimeInh, MemInh
node10.prof, processTXs', 782, 15.4, 15.4
node10.prof, validateTransaction, 758, 11.8, 13.9
node10.prof, txIsUnique, 481, 1.8, 0.0
node10.prof, mint', 24, 1.1, 1.5
node1.prof, processTXs', 1033, 16.6, 20.9
node1.prof, validateTransaction, 1010, 14.8, 20.8
node1.prof, txIsUnique, 454, 1.3, 0.0
node1.prof, mint', 22, 0.2, 0.0
node2.prof, processTXs', 1034, 17.5, 19.1
node2.prof, validateTransaction, 1010, 15.3, 18.5
node2.prof, txIsUnique, 480, 1.3, 0.0
node2.prof, mint', 23, 0.3, 0.6
node3.prof, processTXs', 785, 14.9, 17.4
node3.prof, validateTransaction, 761, 12.2, 15.7
node3.prof, txIsUnique, 483, 1.7, 0.0
node3.prof, mint', 24, 0.5, 1.6
node4.prof, processTXs', 773, 15.3, 18.3
node4.prof, validateTransaction, 749, 11.6, 15.8
node4.prof, txIsUnique, 482, 1.8, 0.0
node4.prof, mint', 24, 1.6, 2.5
node5.prof, processTXs', 777, 17.1, 18.8
node5.prof, validateTransaction, 753, 12.8, 15.5
node5.prof, txIsUnique, 482, 2.0, 0.0
node5.prof, mint', 24, 2.0, 3.2
node6.prof, processTXs', 801, 16.1, 17.7
node6.prof, validateTransaction, 777, 12.9, 16.0
node6.prof, txIsUnique, 482, 1.4, 0.0
node6.prof, mint', 24, 1.4, 1.6
node7.prof, processTXs', 810, 15.4, 14.2
node7.prof, validateTransaction, 786, 11.9, 12.3
node7.prof, txIsUnique, 482, 1.8, 0.0
node7.prof, mint', 24, 1.4, 1.8
node8.prof, processTXs', 769, 15.9, 17.1
node8.prof, validateTransaction, 745, 12.3, 14.8
node8.prof, txIsUnique, 481, 1.6, 0.0
node8.prof, mint', 24, 1.5, 2.3
node9.prof, processTXs', 796, 16.0, 16.6
node9.prof, validateTransaction, 772, 12.7, 14.3
node9.prof, txIsUnique, 481, 1.4, 0.0
node9.prof, mint', 24, 1.4, 2.2
