Node,Function,Module,Source,Number,Entries,TimeInd,MemInd,TimeInh,MemInh
node10.prof,nodeLogic.processTXs.processTXs',OrdinaryNode,src/OrdinaryNode.hs:(183-11-(197-62,12829,1112,0.2,0.0,18.7,20.3
node10.prof,validateTransaction,Transaction,src/Transaction.hs:(189-1-(192-46,13726,1010,0.0,0.0,13.5,18.1
node10.prof,txIsUnique,Block,src/Block.hs:132:1-52,14295,511,0.4,0.0,2.4,0.0
node10.prof,nodeLogic.mint',OrdinaryNode,src/OrdinaryNode.hs:(206-7-(231-37,14330,101,0.0,0.0,2.5,2.1
node1.prof,nodeLogic.processTXs.processTXs',OrdinaryNode,src/OrdinaryNode.hs:(183-11-(197-62,12833,1112,0.3,0.0,17.6,20.2
node1.prof,validateTransaction,Transaction,src/Transaction.hs:(189-1-(192-46,13788,1010,0.0,0.0,12.7,17.1
node1.prof,txIsUnique,Block,src/Block.hs:132:1-52,14357,513,0.3,0.0,2.0,0.0
node1.prof,nodeLogic.mint',OrdinaryNode,src/OrdinaryNode.hs:(206-7-(231-37,14371,101,0.0,0.0,2.5,3.1
node2.prof,nodeLogic.processTXs.processTXs',OrdinaryNode,src/OrdinaryNode.hs:(183-11-(197-62,12833,1103,0.4,0.0,17.9,18.1
node2.prof,validateTransaction,Transaction,src/Transaction.hs:(189-1-(192-46,13780,1010,0.0,0.0,14.8,17.9
node2.prof,txIsUnique,Block,src/Block.hs:132:1-52,14349,468,0.4,0.0,2.1,0.0
node2.prof,nodeLogic.mint',OrdinaryNode,src/OrdinaryNode.hs:(206-7-(231-37,14371,92,0.0,0.0,0.5,0.1
node3.prof,nodeLogic.processTXs.processTXs',OrdinaryNode,src/OrdinaryNode.hs:(183-11-(197-62,12833,1112,0.4,0.0,19.5,21.7
node3.prof,validateTransaction,Transaction,src/Transaction.hs:(189-1-(192-46,13780,1010,0.0,0.0,15.0,20.2
node3.prof,txIsUnique,Block,src/Block.hs:132:1-52,14349,515,0.3,0.0,2.6,0.0
node3.prof,nodeLogic.mint',OrdinaryNode,src/OrdinaryNode.hs:(206-7-(231-37,14379,101,0.0,0.0,1.6,1.5
node4.prof,nodeLogic.processTXs.processTXs',OrdinaryNode,src/OrdinaryNode.hs:(183-11-(197-62,12833,1112,0.3,0.0,19.6,19.5
node4.prof,validateTransaction,Transaction,src/Transaction.hs:(189-1-(192-46,13788,1010,0.0,0.0,13.9,17.1
node4.prof,txIsUnique,Block,src/Block.hs:132:1-52,14357,518,0.5,0.0,3.0,0.0
node4.prof,nodeLogic.mint',OrdinaryNode,src/OrdinaryNode.hs:(206-7-(231-37,14371,101,0.0,0.0,2.3,2.4
node5.prof,nodeLogic.processTXs.processTXs',OrdinaryNode,src/OrdinaryNode.hs:(183-11-(197-62,12832,1112,0.4,0.0,20.6,21.9
node5.prof,validateTransaction,Transaction,src/Transaction.hs:(189-1-(192-46,13738,1010,0.0,0.0,15.3,19.9
node5.prof,txIsUnique,Block,src/Block.hs:132:1-52,14349,515,0.6,0.0,2.8,0.0
node5.prof,nodeLogic.mint',OrdinaryNode,src/OrdinaryNode.hs:(206-7-(231-37,14363,101,0.0,0.0,1.9,2.0
node6.prof,nodeLogic.processTXs.processTXs',OrdinaryNode,src/OrdinaryNode.hs:(183-11-(197-62,12833,1112,0.5,0.0,20.9,20.8
node6.prof,validateTransaction,Transaction,src/Transaction.hs:(189-1-(192-46,13730,1010,0.0,0.0,14.0,18.1
node6.prof,txIsUnique,Block,src/Block.hs:132:1-52,14299,517,0.4,0.0,2.8,0.0
node6.prof,nodeLogic.mint',OrdinaryNode,src/OrdinaryNode.hs:(206-7-(231-37,14313,101,0.0,0.0,3.6,2.7
node7.prof,nodeLogic.processTXs.processTXs',OrdinaryNode,src/OrdinaryNode.hs:(183-11-(197-62,12832,1112,0.2,0.0,19.7,19.6
node7.prof,validateTransaction,Transaction,src/Transaction.hs:(189-1-(192-46,13730,1010,0.0,0.0,13.5,16.3
node7.prof,txIsUnique,Block,src/Block.hs:132:1-52,14299,515,0.5,0.0,2.7,0.0
node7.prof,nodeLogic.mint',OrdinaryNode,src/OrdinaryNode.hs:(206-7-(231-37,14363,101,0.0,0.0,3.4,3.3
node8.prof,nodeLogic.processTXs.processTXs',OrdinaryNode,src/OrdinaryNode.hs:(183-11-(197-62,12833,1112,0.6,0.0,18.8,18.4
node8.prof,validateTransaction,Transaction,src/Transaction.hs:(189-1-(192-46,13780,1010,0.1,0.0,13.2,16.4
node8.prof,txIsUnique,Block,src/Block.hs:132:1-52,14349,516,0.5,0.0,2.8,0.0
node8.prof,nodeLogic.mint',OrdinaryNode,src/OrdinaryNode.hs:(206-7-(231-37,14363,101,0.0,0.0,2.2,2.0
node9.prof,nodeLogic.processTXs.processTXs',OrdinaryNode,src/OrdinaryNode.hs:(183-11-(197-62,12832,1112,0.6,0.0,20.8,21.7
node9.prof,validateTransaction,Transaction,src/Transaction.hs:(189-1-(192-46,13788,1010,0.0,0.0,15.0,20.2
node9.prof,txIsUnique,Block,src/Block.hs:132:1-52,14357,516,0.5,0.0,3.6,0.0
node9.prof,nodeLogic.mint',OrdinaryNode,src/OrdinaryNode.hs:(206-7-(231-37,14371,101,0.0,0.0,1.5,1.5
