File, Function, Calls, TimeInh, MemInh
node1.prof, processTXs', 267, 10.2, 12.2
node1.prof, validateTransaction, 255, 8.0, 9.4
node1.prof, txIsUnique, 230, 0.6, 0.0
node1.prof, mint', 11, 1.5, 2.8
node2.prof, processTXs', 267, 10.4, 13.1
node2.prof, validateTransaction, 255, 8.3, 10.0
node2.prof, txIsUnique, 231, 0.8, 0.0
node2.prof, mint', 11, 1.1, 3.0
node3.prof, processTXs', 267, 10.4, 10.0
node3.prof, validateTransaction, 255, 8.8, 8.7
node3.prof, txIsUnique, 228, 0.7, 0.0
node3.prof, mint', 11, 0.6, 1.3
node4.prof, processTXs', 267, 9.5, 8.3
node4.prof, validateTransaction, 255, 7.8, 6.4
node4.prof, txIsUnique, 228, 0.7, 0.0
node4.prof, mint', 11, 0.8, 1.8
node5.prof, processTXs', 267, 12.5, 13.7
node5.prof, validateTransaction, 255, 8.3, 8.5
node5.prof, txIsUnique, 230, 0.9, 0.0
node5.prof, mint', 11, 2.9, 5.1
