File, Function, Calls, TimeInh, MemInh
node10.prof, processTXs', 1036, 21.3, 20.9
node10.prof, validateTransaction, 1010, 14.6, 18.8
node10.prof, mint', 25, 1.3, 2.0
node1.prof, processTXs', 1036, 15.1, 17.4
node1.prof, validateTransaction, 1010, 11.9, 16.7
node1.prof, mint', 25, 0.5, 0.7
node2.prof, processTXs', 1036, 13.9, 18.8
node2.prof, validateTransaction, 1010, 10.8, 18.0
node2.prof, mint', 25, 0.6, 0.7
node3.prof, processTXs', 1036, 19.6, 23.6
node3.prof, validateTransaction, 1010, 14.0, 19.8
node3.prof, mint', 25, 1.7, 3.8
node4.prof, processTXs', 1036, 20.7, 21.9
node4.prof, validateTransaction, 1010, 13.7, 18.4
node4.prof, mint', 25, 2.0, 3.5
node5.prof, processTXs', 1036, 20.0, 21.5
node5.prof, validateTransaction, 1010, 12.6, 18.6
node5.prof, mint', 25, 1.8, 2.9
node6.prof, processTXs', 1036, 22.5, 21.9
node6.prof, validateTransaction, 1010, 15.7, 20.3
node6.prof, mint', 25, 0.8, 1.6
node7.prof, processTXs', 1034, 22.6, 21.3
node7.prof, validateTransaction, 1010, 17.5, 20.4
node7.prof, mint', 23, 0.8, 0.8
node8.prof, processTXs', 1036, 20.6, 21.7
node8.prof, validateTransaction, 1010, 14.5, 20.1
node8.prof, mint', 25, 1.1, 1.6
node9.prof, processTXs', 1036, 20.1, 21.7
node9.prof, validateTransaction, 1010, 14.0, 20.8
node9.prof, mint', 25, 0.5, 0.8
