File, Function, Calls, TimeInh, MemInh
node10.prof, processTXs', 1061, 19.6, 21.6
node10.prof, validateTransaction, 1010, 14.7, 19.5
node10.prof, txIsUnique, 504, 2.6, 0.0
node10.prof, mint', 50, 1.9, 2.0
node1.prof, processTXs', 1061, 19.1, 22.0
node1.prof, validateTransaction, 1010, 15.1, 19.9
node1.prof, txIsUnique, 506, 1.8, 0.0
node1.prof, mint', 50, 1.7, 2.1
node2.prof, processTXs', 1061, 19.0, 19.8
node2.prof, validateTransaction, 1010, 14.6, 17.3
node2.prof, txIsUnique, 507, 2.1, 0.0
node2.prof, mint', 50, 1.8, 2.5
node3.prof, processTXs', 1061, 21.6, 23.0
node3.prof, validateTransaction, 1010, 16.4, 20.4
node3.prof, txIsUnique, 508, 2.4, 0.0
node3.prof, mint', 50, 2.4, 2.5
node4.prof, processTXs', 1061, 20.2, 21.5
node4.prof, validateTransaction, 1010, 15.4, 19.6
node4.prof, txIsUnique, 509, 2.6, 0.0
node4.prof, mint', 50, 1.7, 1.9
node5.prof, processTXs', 1061, 21.6, 22.0
node5.prof, validateTransaction, 1010, 17.0, 19.5
node5.prof, txIsUnique, 507, 2.8, 0.0
node5.prof, mint', 50, 1.5, 2.4
node6.prof, processTXs', 1061, 18.7, 17.7
node6.prof, validateTransaction, 1010, 13.8, 16.3
node6.prof, txIsUnique, 507, 3.3, 0.0
node6.prof, mint', 50, 1.0, 1.4
node7.prof, processTXs', 1061, 20.6, 20.8
node7.prof, validateTransaction, 1010, 16.0, 19.5
node7.prof, txIsUnique, 507, 2.7, 0.0
node7.prof, mint', 50, 1.5, 1.2
node8.prof, processTXs', 1061, 21.1, 22.2
node8.prof, validateTransaction, 1010, 15.5, 19.7
node8.prof, txIsUnique, 509, 3.2, 0.0
node8.prof, mint', 50, 1.7, 2.4
node9.prof, processTXs', 1061, 19.3, 21.4
node9.prof, validateTransaction, 1010, 15.6, 20.1
node9.prof, txIsUnique, 508, 2.4, 0.0
node9.prof, mint', 50, 0.7, 1.3
