File, Function, Calls, TimeInh, MemInh
node10.prof, processTXs', 1061, 19.6, 21.3
node10.prof, validateTransaction, 1010, 14.7, 19.6
node10.prof, mint', 50, 0.9, 1.6
node1.prof, processTXs', 1061, 17.9, 20.6
node1.prof, validateTransaction, 1010, 14.8, 18.7
node1.prof, mint', 50, 1.0, 1.9
node2.prof, processTXs', 1061, 19.7, 20.6
node2.prof, validateTransaction, 1010, 14.8, 18.3
node2.prof, mint', 50, 2.0, 2.3
node3.prof, processTXs', 1061, 18.6, 18.4
node3.prof, validateTransaction, 1010, 14.7, 17.3
node3.prof, mint', 50, 0.9, 1.1
node4.prof, processTXs', 1061, 21.0, 22.0
node4.prof, validateTransaction, 1010, 15.8, 19.7
node4.prof, mint', 50, 1.7, 2.3
node5.prof, processTXs', 1061, 20.5, 22.6
node5.prof, validateTransaction, 1010, 15.6, 19.8
node5.prof, mint', 50, 1.6, 2.8
node6.prof, processTXs', 1061, 21.0, 22.1
node6.prof, validateTransaction, 1010, 15.6, 20.0
node6.prof, mint', 50, 2.0, 2.1
node7.prof, processTXs', 1061, 20.6, 18.9
node7.prof, validateTransaction, 1010, 15.5, 18.1
node7.prof, mint', 50, 0.7, 0.8
node8.prof, processTXs', 1061, 21.8, 22.5
node8.prof, validateTransaction, 1010, 15.7, 19.0
node8.prof, mint', 50, 2.3, 3.5
node9.prof, processTXs', 1061, 19.6, 18.2
node9.prof, validateTransaction, 1010, 14.9, 17.1
node9.prof, mint', 50, 0.9, 1.1
