File, Function, Calls, TimeInh, MemInh
node1.prof, processTXs', 235, 8.6, 11.4
node1.prof, validateTransaction, 224, 5.6, 7.6
node1.prof, mint', 10, 1.8, 3.8
node2.prof, processTXs', 235, 5.9, 7.6
node2.prof, validateTransaction, 224, 4.1, 5.6
node2.prof, mint', 10, 1.2, 1.9
node3.prof, processTXs', 235, 8.0, 10.0
node3.prof, validateTransaction, 224, 6.4, 8.5
node3.prof, mint', 10, 0.5, 1.5
node4.prof, processTXs', 235, 8.7, 10.3
node4.prof, validateTransaction, 224, 5.9, 7.6
node4.prof, mint', 10, 1.2, 2.6
node5.prof, processTXs', 235, 10.7, 13.0
node5.prof, validateTransaction, 224, 7.2, 9.6
node5.prof, mint', 10, 1.9, 3.3
