File, Function, Calls, TimeInh, MemInh
node1.prof, processTXs', 278, 11.1, 11.9
node1.prof, validateTransaction, 255, 7.6, 7.7
node1.prof, txIsUnique, 228, 0.8, 0.0
node1.prof, mint', 22, 2.2, 4.2
node2.prof, processTXs', 278, 10.4, 9.3
node2.prof, validateTransaction, 255, 8.6, 8.6
node2.prof, txIsUnique, 229, 0.8, 0.0
node2.prof, mint', 22, 0.7, 0.7
node3.prof, processTXs', 278, 11.1, 13.4
node3.prof, validateTransaction, 255, 8.7, 10.2
node3.prof, txIsUnique, 227, 0.8, 0.0
node3.prof, mint', 22, 1.5, 3.2
node4.prof, processTXs', 278, 10.0, 10.1
node4.prof, validateTransaction, 255, 8.5, 8.8
node4.prof, txIsUnique, 227, 0.7, 0.0
node4.prof, mint', 22, 0.5, 1.3
node5.prof, processTXs', 278, 12.8, 13.4
node5.prof, validateTransaction, 255, 8.1, 8.2
node5.prof, txIsUnique, 229, 0.7, 0.0
node5.prof, mint', 22, 3.6, 5.2
