File, Function, Calls, TimeInh, MemInh
node1.prof, processTXs', 278, 10.5, 12.5
node1.prof, validateTransaction, 255, 7.9, 9.0
node1.prof, mint', 22, 1.8, 3.4
node2.prof, processTXs', 278, 11.0, 10.6
node2.prof, validateTransaction, 255, 8.0, 8.1
node2.prof, mint', 22, 2.2, 2.6
node3.prof, processTXs', 278, 10.8, 10.2
node3.prof, validateTransaction, 255, 8.7, 8.2
node3.prof, mint', 22, 1.1, 2.0
node4.prof, processTXs', 278, 11.6, 9.3
node4.prof, validateTransaction, 255, 7.7, 6.3
node4.prof, mint', 22, 2.7, 3.0
node5.prof, processTXs', 278, 10.0, 9.3
node5.prof, validateTransaction, 255, 7.6, 7.1
node5.prof, mint', 22, 1.4, 2.2
